Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,DequeueBufferDuration,QueueBufferDuration,
0,31952023845215,31952023845215,9223372036854775807,0,31952024744485,31952024803110,31952024812110,31952024958068,31952025713110,31952025910318,31601793494068,31601796593318,31601801505484,455000,4389000,
0,31952040509737,31952040509737,9223372036854775807,0,31952041214193,31952041270235,31952041278610,31952041422235,31952042112901,31952042350818,31601810358776,31601813307568,31601818024734,437000,4210000,
0,31952057174052,31952057174052,9223372036854775807,0,31952057941110,31952057998443,31952058007526,31952058151276,31952058801610,31952058980235,31601826577109,31601829489984,31601834714693,419000,4733000,
0,31952073837897,31952073837897,9223372036854775807,0,31952074655568,31952074710776,31952074719693,31952074866360,31952075605860,31952075823568,31601843938151,31601847104443,31601851567526,518000,3931000,
0,31952090502310,31952090502310,9223372036854775807,0,31952091229735,31952091286651,31952091295485,31952091442401,31952092265401,31952092484818,31601860876401,31601863639859,31601868111693,363000,3733000,
0,31952107166766,31952107166766,9223372036854775807,0,31952107903443,31952107960110,31952107968610,31952108178318,31952108937860,31952109141651,31601877392234,31601880390318,31601884746484,407000,3863000,
0,31952123828539,31952123828539,9223372036854775807,0,31952124733401,31952124791568,31952124800526,31952124944901,31952125670568,31952125884485,31601894124193,31601897076734,31601901429609,405000,3846000,
0,31952140493087,31952140493087,9223372036854775807,0,31952141148735,31952141196776,31952141203443,31952141329735,31952141935485,31952142136110,31601910267401,31601913334943,31601918142401,434000,4297000,
0,31952157157930,31952157157930,9223372036854775807,0,31952157774110,31952157822193,31952157828776,31952157955026,31952158553151,31952158738776,31601925912734,31601929023443,31601934681568,614000,5147000,
0,31952173822915,31952173822915,9223372036854775807,0,31952174444193,31952174491818,31952174498360,31952174624443,31952175342568,31952175506901,31601943292901,31601946139776,31601951440193,368000,4793000,
0,31952190487690,31952190487690,9223372036854775807,0,31952191127068,31952191174318,31952191180818,31952191307110,31952191991151,31952192264193,31601959497151,31601962468609,31601968281026,434000,5266000,
0,31952207152448,31952207152448,9223372036854775807,0,31952207834901,31952207883485,31952207890276,31952208102693,31952208729193,31952208921901,31611588500364,31611592509947,31611594610072,473000,862000,
0,31952223817328,31952223817328,9223372036854775807,0,31952224492193,31952224540068,31952224546526,31952224675110,31952225251318,31952225372735,31611609593322,31611613310697,31611614808989,434000,823000,
0,31952240481434,31952240481434,9223372036854775807,0,31952241160276,31952241208526,31952241214860,31952241341901,31952241553360,31952241750943,31611627386572,31611631199197,31611632697281,502000,890000,
0,31961866222612,31961866222612,9223372036854775807,0,31961866827239,31961866874114,31961866880698,31961867267781,31961868748489,31961868909323,31611643380531,31611647210197,31611652255114,492000,4221000,
0,31961890529741,31961890529741,9223372036854775807,0,31961890995198,31961891031823,31961891036239,31961891137948,31961891663448,31961891792364,31611660916614,31611664669364,31611668217364,454000,2899000,
0,31961907197154,31961907197154,9223372036854775807,0,31961907694989,31961907730948,31961907735239,31961907835198,31961908480323,31961908611239,31611677617406,31611681361322,31611685097531,462000,3079000,
0,31961923864354,31961923864354,9223372036854775807,0,31961924416614,31961924452823,31961924457698,31961924556823,31961925204864,31961925330198,31611694082864,31611697073281,31611701506989,382000,3938000,
0,31961940530643,31961940530643,9223372036854775807,0,31961941061073,31961941098073,31961941102614,31961941206989,31961941726406,31961941918448,31611709810697,31611712824031,31611718110281,383000,4797000,
0,31961957194463,31961957194463,9223372036854775807,0,31961957749989,31961957799239,31961957805823,31961957934239,31961958904448,31961959069031,31611726815614,31611729682656,31611734718239,382000,4523000,
0,31961973860806,31961973860806,9223372036854775807,0,31961974505739,31961974553031,31961974559448,31961974686489,31961975506698,31961975683281,31611743417114,31611746323531,31611751635572,382000,4808000,
0,31961990527012,31961990527012,9223372036854775807,0,31961991157031,31961991203948,31961991210573,31961991336448,31961992112614,31961992291073,31611759856947,31611762903864,31611768204489,504000,4808000,
0,31962007193063,31962007193063,9223372036854775807,0,31962007826656,31962007874198,31962007880948,31962007999531,31962008937281,31962009101156,31611776835739,31611779816447,31611784756531,380000,4257000,
0,31962023858418,31962023858418,9223372036854775807,0,31962024520364,31962024567364,31962024574198,31962024701406,31962025525614,31962025697406,31611793201822,31611796179864,31611801386947,359000,4691000,
0,31962040524405,31962040524405,9223372036854775807,0,31962041205198,31962041254948,31962041261448,31962041471823,31962042169364,31962042347948,31611809462614,31611812746364,31611818067156,525000,4831000,
0,31962057190401,31962057190401,9223372036854775807,0,31962057848781,31962057897823,31962057904114,31962058030114,31962058629656,31962058911323,31611825934322,31611829043239,31611834825197,609000,5280000,
0,31962073856424,31962073856424,9223372036854775807,0,31962074530489,31962074577906,31962074584698,31962074710823,31962075310489,31962075555573,31611843088197,31611846065322,31611851343781,419000,4673000,
0,31962090522609,31962090522609,9223372036854775807,0,31962091106989,31962091153698,31962091160198,31962091289573,31962092228614,31962092445656,31611860392739,31611863601531,31611868259864,439000,4042000,
0,31962107188676,31962107188676,9223372036854775807,0,31962107819739,31962107866906,31962107873573,31962108092073,31962109167781,31962109374114,31611875712572,31611878989156,31611884850739,897000,5373000,
0,31962123854874,31962123854874,9223372036854775807,0,31962124536239,31962124584823,31962124591573,31962124719906,31962125689864,31962125896281,31611892732697,31611895624906,31611901473864,520000,5248000,
0,31962140520578,31962140520578,9223372036854775807,0,31962141164114,31962141211531,31962141218489,31962141345489,31962142185281,31962142351656,31611909243906,31611912264072,31611918065447,512000,5307000,
0,31962157185453,31962157185453,9223372036854775807,0,31962158359656,31962158455614,31962158472406,31962158703489,31962161121489,31962161574739,31611926526656,31611929436364,31611934831322,368000,4878000,
0,31962173850000,31962173850000,9223372036854775807,0,31962175109198,31962175203323,31962175220073,31962175449406,31962177875781,31962178335864,31611942902156,31611945871239,31611951447031,420000,4943000,
0,31962190515235,31962190515235,9223372036854775807,0,31962191273739,31962191329906,31962191338323,31962191485656,31962193000531,31962193262531,31611959138822,31611962201447,31611968126406,590000,5358000,
0,31962207181183,31962207181183,9223372036854775807,0,31962207896573,31962207954031,31962207962698,31962208203031,31962209422323,31962209761364,31611975299781,31611979168281,31611984920156,1225000,5239000,
0,31962223845904,31962223845904,9223372036854775807,0,31962224685281,31962224742489,31962224751323,31962224901198,31962226002156,31962226242073,31621601604369,31621608940452,31621611055035,1025000,1417000,
0,31962240511626,31962240511626,9223372036854775807,0,31962241250031,31962241305823,31962241314656,31962241457489,31962242124114,31962242355239,31621613245285,31621617184160,31621640205577,563000,22419000,
0,31962257177537,31962257177537,9223372036854775807,0,31962257930198,31962257986948,31962257995781,31962258142656,31962258387406,31962258639989,31621641398160,31621645237369,31621666683910,1385000,20947000,
0,31971866223123,31971866223123,9223372036854775807,0,31971866885036,31971866942369,31971866951161,31971867389827,31971869563202,31971869887577,31621667263160,31621678283619,31621692970910,8660000,14200000,
0,31971890530142,31971890530142,9223372036854775807,0,31971891899619,31971891956661,31971891965411,31971892223744,31971893007244,31971893214661,31621695220035,31621712163910,31621714895494,14442000,2001000,
0,31971907196257,31971907196257,9223372036854775807,0,31971907930869,31971907986827,31971907995327,31971908289619,31971909069952,31971909285161,31621715552410,31621730874619,31621731935910,12073000,607000,
0,31971923861943,31971923861943,9223372036854775807,0,31971924797744,31971924855869,31971924864327,31971925010577,31971925779619,31971925974161,31621732693577,31621747392119,31621748659160,11376000,831000,
0,31971940528701,31971940528701,9223372036854775807,0,31971941233452,31971941288911,31971941297661,31971941443327,31971942224952,31971942420452,31621749271827,31621764159869,31621765237785,11595000,620000,
0,31971957200662,31971957200662,9223372036854775807,0,31971957830869,31971957887244,31971957896369,31971958042827,31971958833244,31971959153536,31621765837577,31621780747285,31621781782494,11423000,607000,
0,31971973867258,31971973867258,9223372036854775807,0,31971974564786,31971974620161,31971974628744,31971974777827,31971975542619,31971975831577,31621782389827,31621797606535,31621798666160,11629000,618000,
0,31971990533710,31971990533710,9223372036854775807,0,31971991275661,31971991333286,31971991342119,31971991488452,31971992595369,31971992787494,31621799264619,31621814163994,31621815238202,11390000,540000,
0,31972007199955,31972007199955,9223372036854775807,0,31972007920327,31972007975327,31972007983994,31972008249452,31972009097161,31972009316661,31621815837994,31621831339161,31621832593661,12023000,799000,
0,31972023864809,31972023864809,9223372036854775807,0,31972024708369,31972024765411,31972024774119,31972024920411,31972025715077,31972025910786,31621833196494,31621847017536,31621848355036,10534000,833000,
0,31972040531183,31972040531183,9223372036854775807,0,31972041249202,31972041306077,31972041314577,31972041458869,31972042207661,31972042405536,31621848959869,31621864161577,31621865194952,11731000,602000,
0,31972057197764,31972057197764,9223372036854775807,0,31972057914536,31972057972078,31972057980786,31972058124494,31972058826494,31972059050994,31621865794494,31621881852661,31621883184286,11913000,753000,
0,31972073864160,31972073864160,9223372036854775807,0,31972074635703,31972074693244,31972074701869,31972074847786,31972075705828,31972075900536,31621883794869,31621897761452,31621898944702,10246000,733000,
0,31972090530364,31972090530364,9223372036854775807,0,31972091308244,31972091366286,31972091375161,31972091518494,31972092522453,31972092711036,31621899535994,31621915810911,31621917640327,12009000,1065000,
0,31972107196683,31972107196683,9223372036854775807,0,31972107917161,31972107973828,31972107982661,31972108244161,31972108955953,31972109164161,31621918163911,31621930090661,31621931276286,8820000,520000,
0,31972123862086,31972123862086,9223372036854775807,0,31972124628953,31972124685869,31972124694536,31972124835203,31972125532744,31972125742369,31621931760577,31621947163619,31621948306036,12048000,592000,
0,31972140528636,31972140528636,9223372036854775807,0,31972141295994,31972141352828,31972141361203,31972141503828,31972142211244,31972142350494,31621948795911,31621962906119,31621964456661,11367000,905000,
0,31972157195195,31972157195195,9223372036854775807,0,31972157907661,31972157964828,31972157973453,31972158119703,31972158931036,31972159167536,31621964941286,31621979580036,31621980879327,11707000,457000,
0,31972173861777,31972173861777,9223372036854775807,0,31972174596578,31972174653744,31972174662203,31972174808453,31972175496953,31972175722578,31621981360369,31621996478161,31621997676952,12044000,520000,
0,31972190528288,31972190528288,9223372036854775807,0,31972191234244,31972191291994,31972191300744,31972191443619,31972192510286,31972192701786,31631603947332,31631606801665,31631608301123,479000,1029000,
0,31972207194724,31972207194724,9223372036854775807,0,31972207927994,31972207985244,31972207993786,31972208336453,31972209059369,31972209282161,31631625762540,31631628656915,31631630140790,353000,950000,
0,31972223860712,31972223860712,9223372036854775807,0,31972224693328,31972224750869,31972224759244,31972224903244,31972225661869,31972225878994,31631642386582,31631645468624,31631646822082,355000,843000,
0,31972240526904,31972240526904,9223372036854775807,0,31972241296578,31972241352369,31972241360786,31972241508411,31972242180036,31972242325869,31631659622624,31631662538249,31631663829290,452000,784000,
0,31972257192869,31972257192869,9223372036854775807,0,31972257970661,31972258025703,31972258034203,31972258179953,31972258411828,31972258687661,31631676147332,31631678954290,31631680085582,357000,591000,
